set_code;set_name;card_number;card_name;color
OGN;Origins (Main Set);1;Blazing Scorcher;R
OGN;Origins (Main Set);2;Brazen Buccaneer;R
OGN;Origins (Main Set);3;Chemtech Enforcer;R
OGN;Origins (Main Set);4;Cleave;R
OGN;Origins (Main Set);5;Disintegrate;R
OGN;Origins (Main Set);6;Flame Chompers;R
OGN;Origins (Main Set);7;Fury Rune;R
OGN;Origins (Main Set);8;Get Excited!;R
OGN;Origins (Main Set);9;Hextech Ray;R
OGN;Origins (Main Set);10;Legion Rearguard;R
OGN;Origins (Main Set);11;Magma Wurm;R
OGN;Origins (Main Set);12;Noxus Hopeful;R
OGN;Origins (Main Set);13;Pouty Poro;R
OGN;Origins (Main Set);14;Sky Splitter;R
OGN;Origins (Main Set);15;Captain Farron;R
OGN;Origins (Main Set);16;Dangerous Duo;R
OGN;Origins (Main Set);17;Iron Ballista;R
OGN;Origins (Main Set);18;Noxus Saboteur;R
OGN;Origins (Main Set);19;Raging Soul;R
OGN;Origins (Main Set);20;Scrapyard Champion;R
OGN;Origins (Main Set);21;Sun Disc;R
OGN;Origins (Main Set);22;Thermo Beam;R
OGN;Origins (Main Set);23;Unlicensed Armory;R
OGN;Origins (Main Set);24;Void Seeker;R
OGN;Origins (Main Set);25;Blind Fury;R
OGN;Origins (Main Set);26;Brynhir Thundersong;R
OGN;Origins (Main Set);27;Darius - Trifarian;R
OGN;Origins (Main Set);28;Draven - Showboat;R
OGN;Origins (Main Set);29;Falling Star;R
OGN;Origins (Main Set);30;Jinx - Demolitionist;R
OGN;Origins (Main Set);31;Raging Firebrand;R
OGN;Origins (Main Set);32;Ravenborn Tome;R
OGN;Origins (Main Set);33;Shakedown;R
OGN;Origins (Main Set);34;Tryndamere - Barbarian;R
OGN;Origins (Main Set);35;Vayne - Hunter;R
OGN;Origins (Main Set);36;Vi - Destructive;R
OGN;Origins (Main Set);37;Immortal Phoenix;R
OGN;Origins (Main Set);38;Kadregrin the Infernal;R
OGN;Origins (Main Set);39;Kai'Sa - Survivor;R
OGN;Origins (Main Set);40;Seal of Rage;R
OGN;Origins (Main Set);41;Volibear - Furious;R
OGN;Origins (Main Set);42;Calm Rune;G
OGN;Origins (Main Set);43;Charm;G
OGN;Origins (Main Set);44;Clockwork Keeper;G
OGN;Origins (Main Set);45;Defy;G
OGN;Origins (Main Set);46;En Garde;G
OGN;Origins (Main Set);47;Find Your Center;G
OGN;Origins (Main Set);48;Meditation;G
OGN;Origins (Main Set);49;Playful Phantom;G
OGN;Origins (Main Set);50;Rune Prison;G
OGN;Origins (Main Set);51;Solari Shieldbearer;G
OGN;Origins (Main Set);52;Stalwart Poro;G
OGN;Origins (Main Set);53;Stand United;G
OGN;Origins (Main Set);54;Sunlit Guardian;G
OGN;Origins (Main Set);55;Wielder of Water;G
OGN;Origins (Main Set);56;Adaptatron;G
OGN;Origins (Main Set);57;Block;G
OGN;Origins (Main Set);58;Discipline;G
OGN;Origins (Main Set);59;Eclipse Herald;G
OGN;Origins (Main Set);60;Mask of Foresight;G
OGN;Origins (Main Set);61;Poro Herder;G
OGN;Origins (Main Set);62;Reinforce;G
OGN;Origins (Main Set);63;Spirit's Refuge;G
OGN;Origins (Main Set);64;Wind Wall;G
OGN;Origins (Main Set);65;Wizened Elder;G
OGN;Origins (Main Set);66;Ahri - Alluring;G
OGN;Origins (Main Set);67;Blitzcrank - Impassive;G
OGN;Origins (Main Set);68;Caitlyn - Patrolling;G
OGN;Origins (Main Set);69;Last Stand;G
OGN;Origins (Main Set);70;Mageseeker Warden;G
OGN;Origins (Main Set);71;Party Favors;G
OGN;Origins (Main Set);72;Solari Shrine;G
OGN;Origins (Main Set);73;Sona - Harmonious;G
OGN;Origins (Main Set);74;Taric - Protector;G
OGN;Origins (Main Set);75;Tasty Faefolk;G
OGN;Origins (Main Set);76;Yasuo - Remorseful;G
OGN;Origins (Main Set);77;Zhonya's Hourglass;G
OGN;Origins (Main Set);78;Lee Sin - Ascetic;G
OGN;Origins (Main Set);79;Leona - Zealot;G
OGN;Origins (Main Set);80;Mystic Reversal;G
OGN;Origins (Main Set);81;Seal of Focus;G
OGN;Origins (Main Set);82;Whiteflame Protector;G
OGN;Origins (Main Set);83;Consult the Past;B
OGN;Origins (Main Set);84;Eager Apprentice;B
OGN;Origins (Main Set);85;Falling Comet;B
OGN;Origins (Main Set);86;Jeweled Colossus;B
OGN;Origins (Main Set);87;Lecturing Yordle;B
OGN;Origins (Main Set);88;Mega-Mech;B
OGN;Origins (Main Set);89;Mind Rune;B
OGN;Origins (Main Set);90;Orb of Regret;B
OGN;Origins (Main Set);91;Pit Crew;B
OGN;Origins (Main Set);92;Riptide Rex;B
OGN;Origins (Main Set);93;Smoke Screen;B
OGN;Origins (Main Set);94;Sprite Call;B
OGN;Origins (Main Set);95;Stupefy;B
OGN;Origins (Main Set);96;Watchful Sentry;B
OGN;Origins (Main Set);97;Blastcone Fae;B
OGN;Origins (Main Set);98;Energy Conduit;B
OGN;Origins (Main Set);99;Garbage Grabber;B
OGN;Origins (Main Set);100;Gemcraft Seer;B
OGN;Origins (Main Set);101;Mushroom Pouch;B
OGN;Origins (Main Set);102;Portal Rescue;B
OGN;Origins (Main Set);103;Ravenbloom Student;B
OGN;Origins (Main Set);104;Retreat;B
OGN;Origins (Main Set);105;Singularity;B
OGN;Origins (Main Set);106;Sprite Mother;B
OGN;Origins (Main Set);107;Ava Achiever;B
OGN;Origins (Main Set);108;Convergent Mutation;B
OGN;Origins (Main Set);109;Dr. Mundo - Expert;B
OGN;Origins (Main Set);110;Ekko - Recurrent;B
OGN;Origins (Main Set);111;Heimerdinger - Inventor;B
OGN;Origins (Main Set);112;Kai'Sa - Evolutionary;B
OGN;Origins (Main Set);113;Malzahar - Fanatic;B
OGN;Origins (Main Set);114;Progress Day;B
OGN;Origins (Main Set);115;Promising Future;B
OGN;Origins (Main Set);116;Thousand-Tailed Watcher;B
OGN;Origins (Main Set);117;Viktor - Innovator;B
OGN;Origins (Main Set);118;Wraith of Echoes;B
OGN;Origins (Main Set);119;Ahri - Inquisitive;B
OGN;Origins (Main Set);120;Seal of Insight;B
OGN;Origins (Main Set);121;Teemo - Strategist;B
OGN;Origins (Main Set);122;Time Warp;B
OGN;Origins (Main Set);123;Unchecked Power;B
OGN;Origins (Main Set);124;Arena Bar;O
OGN;Origins (Main Set);125;Bilgewater Bully;O
OGN;Origins (Main Set);126;Body Rune;O
